item_id,order_id,product_id,quantity,unit_price,discount_percent
I00264,O00250,P0084,5,7590.4,3
I00265,O00734,P0384,4,9954.04,13
I00266,O00186,P0410,2,5118.41,15
I00267,O00936,P0009,3,171.83,25
I00268,O00205,P0182,4,3667.89,9
I00269,O01336,P0154,1,2370.65,22
I00270,O00799,P0449,1,4766.48,30
I00271,O00663,P0024,3,1493.28,7
I00272,O00263,P0266,2,1642.01,22
I00273,O00126,P0306,4,8043.56,27
I00274,O00850,P0422,3,1659.08,5
I00275,O00311,P0380,2,8113.23,21
I00276,O00225,P0403,2,1707.5,15
I00277,O01281,P0192,2,9098.91,8
I00278,O00053,P0170,5,382.12,15
I00279,O00296,P0468,1,4135.78,17
I00280,O01480,P0269,4,1780.43,3
I00281,O00457,P0048,1,4256.84,2
I00282,O00952,P0213,1,8575.79,17
I00283,O01236,P0415,4,6404.87,9
I00284,O00527,P0066,4,3296.48,17
I00285,O01369,P0367,3,1054.34,15
I00286,O00450,P0264,5,1385.1,30
I00287,O00169,P0381,2,1038.41,12
I00288,O00216,P0128,3,2339.61,5
I00289,O00947,P0343,3,5948.77,16
I00290,O00547,P0390,5,9005.37,10
I00291,O00298,P0297,4,7390.46,27
I00292,O00789,P0324,1,575.38,6
I00293,O01300,P0018,-2,8370.25,7
I00294,O00024,P0293,2,4859.69,27
I00295,O01183,P0208,3,4575.83,6
I00296,O01118,P0226,4,1266.41,8
I00297,O00691,P0457,5,1944.56,10
I00298,O00935,P0340,4,1055.38,27
I00299,O00539,P0033,3,7841.35,13
I00300,O00259,P0049,1,2348.54,14
I00301,O01460,P0152,1,1350.36,11
I00302,O01134,P0482,3,921.38,27
I00303,O01047,P0100,5,1502.91,21
I00304,O00407,P0376,2,7471.5,16
I00305,O01153,P0441,5,5352.56,1
I00306,O00472,P0356,5,9476.92,16
I00307,O00206,P0349,2,1739.79,20
I00308,O01467,P0078,5,5454.13,30
I00309,O00415,P0143,5,584.23,30
I00310,O01069,P0498,4,4270.51,15
I00311,O01478,P0481,4,3069.93,2
I00312,O01369,P0160,3,2166.67,23
I00313,O00137,P0031,5,7576.18,4
I00314,O00329,P0392,2,9723.74,30
I00315,O00327,P0331,2,4248.19,18
I00316,O00718,P0037,2,2340.42,30
I00317,O00823,P0064,3,7287.19,18
I00318,O00292,P0345,2,2827.16,10
I00319,O01067,P0160,1,5289.99,24
I00320,O01353,P0225,5,3058.34,3
I00321,O00931,P0079,5,796.99,24
I00322,O00084,P0196,3,8395.98,8
I00323,O00873,P0300,1,1767.71,22
I00324,O00461,P0268,4,1120.2,23
I00325,O00743,P0124,5,8706.68,21
I00326,O00886,P0216,4,660.86,3
I00327,O00565,P0464,3,2591.54,16
I00328,O00515,P0183,3,922.62,3
I00329,O01014,P0114,4,5951.74,21
I00330,O01452,P0250,3,5650.64,26
I00331,O01063,P0446,5,9259.91,12
I00332,O01210,P0430,1,7956.64,30
I00333,O00241,P0495,1,7663.9,11
I00334,O01237,P0216,5,8171.31,22
I00335,O00902,P0437,1,4661.36,27
I00336,O00817,P0417,5,8071.68,23
I00337,O00053,P0111,4,5712.61,0
I00338,O00845,P0411,3,380.91,14
I00339,O01399,P0177,3,3588.55,30
I00340,O00098,P0167,2,4636.23,20
I00341,O00329,P0108,3,5628.93,27
I00342,O00822,P0386,5,3550.54,26
I00343,O00183,P0171,2,3582.87,17
I00344,O00627,P0052,2,9150.3,2
I00345,O01019,P0328,4,1943.3,12
I00346,O01449,P0249,2,3570.88,25
I00347,O00327,P0492,4,1768.58,0
I00348,O00636,P0466,1,5110.58,20
I00349,O01147,P0276,5,1861.29,19
I00350,O00186,P0365,1,6019.9,28
I00351,O00299,P0367,4,3467.62,11
I00352,O00789,P0054,4,8465.59,23
I00353,O00169,P0166,3,9994.45,14
I00354,O00318,P0342,1,9927.51,0
I00355,O01424,P0113,4,2528.98,7
I00356,O00443,P0075,4,222.94,7
I00357,O00990,P0430,1,4445.6,17
I00358,O00394,P0212,5,1941.97,16
I00359,O01179,P0455,5,9033.19,12
I00360,O00746,P0412,3,8037.08,13
I00361,O00481,P0164,3,5449.65,2
I00362,O01439,P0127,2,7976.02,18
I00363,O01040,P0363,2,4809.8,10
I00364,O01238,P0117,1,7229.05,22
I00365,O00459,P0239,5,2764.42,26
I00366,O00897,P0255,1,5951.52,2
I00367,O00919,P0287,-2,6537.75,28
I00368,O01447,P0076,3,731.39,11
I00369,O00566,P0292,1,2594.92,28
I00370,O01006,P0221,1,7071.76,30
I00371,O00441,P0339,2,4575.91,17
I00372,O01168,P0409,3,8772.09,30
I00373,O01106,P0349,4,5910.04,27
I00374,O00109,P0365,1,7569.22,18
I00375,O00146,P0315,1,729.92,13
I00376,O00510,P0308,2,7759.97,5
I00377,O01014,P0374,-2,1283.05,2
I00378,O01176,P0359,1,9495.4,12
I00379,O00972,P0071,4,8487.93,5
I00380,O00364,P0363,1,4360.57,8
I00381,O00534,P0206,4,2086.01,11
I00382,O00193,P0269,1,2651.9,28
I00383,O01141,P0031,5,6858.83,3
I00384,O01084,P0007,-2,146.14,12
I00385,O01164,P0289,-3,3810.88,2
I00386,O01272,P0256,2,1899.69,6
I00387,O01400,P0468,3,1631.24,11
I00388,O00903,P0362,5,8475.13,24
I00389,O00912,P0016,2,6258.62,29
I00390,O00247,P0414,5,9349.05,29
I00391,O01399,P0093,3,5942.05,5
I00392,O01236,P0080,1,9973.68,29
I00393,O01349,P0281,3,8334.52,25
I00394,O01370,P0284,4,748.09,7
I00395,O01006,P0097,3,7961.13,1
I00396,O00984,P0416,3,8451.65,21
I00397,O01065,P0047,5,6668.77,10
I00398,O01439,P0273,5,5264.56,24
I00399,O00579,P0165,5,1441.21,24
I00400,O01283,P0219,2,4101.96,12
I00401,O01007,P0054,1,3282.99,15
I00402,O01020,P0403,5,7730.33,24
I00403,O00086,P0097,1,9473.12,9
I00404,O01170,P0278,5,1816.25,10
I00405,O00097,P0495,1,3099.16,6
I00406,O00108,P0422,3,8271.4,27
I00407,O01074,P0435,4,1865.07,11
I00408,O00203,P0235,1,9504.65,28
I00409,O00150,P0366,2,2115.72,6
I00410,O00032,P0024,5,9228.65,6
I00411,O00010,P0464,1,2479.84,26
I00412,O00799,P0424,3,2360.88,29
I00413,O00291,P0307,4,2537.11,21
I00414,O00866,P0349,3,5748.34,27
I00415,O01339,P0378,3,9145.99,13
I00416,O00848,P0194,1,2853.06,28
I00417,O01000,P0130,2,6041.28,20
I00418,O00920,P0066,4,6663.33,7
I00419,O00237,P0082,1,9031.95,15
I00420,O00671,P0086,1,9440.68,8
I00421,O00587,P0146,4,8569.53,8
I00422,O00809,P0422,1,8867.44,6
I00423,O01020,P0103,1,1358.44,1
I00424,O00229,P0118,4,476.51,12
I00425,O01421,P0413,2,767.26,13
I00426,O00293,P0227,5,6010.31,1
I00427,O00388,P0394,5,2183.27,10
I00428,O00313,P0175,1,8608.93,8
I00429,O00411,P0462,2,6476.94,12
I00430,O00598,P0259,4,730.13,5
I00431,O01477,P0225,2,350.57,14
I00432,O01233,P0271,1,2949.28,5
I00433,O00651,P0030,2,1202.52,2
I00434,O00036,P0317,4,7232.78,23
I00435,O00294,P0462,3,1127.55,7
I00436,O01153,P0030,1,8155.69,24
I00437,O00460,P0391,5,6320.04,18
I00438,O01329,P0422,5,9117.03,29
I00439,O00579,P0352,5,6198.89,14
I00440,O01255,P0129,2,3516.95,20
I00441,O00314,P0233,4,5410.9,11
I00442,O01305,P0375,2,1826.1,30
I00443,O00329,P0189,4,7426.06,13
I00444,O00942,P0211,3,7135.79,17
I00445,O00257,P0431,2,6302.35,6
I00446,O00856,P0236,4,7361.15,14
I00447,O00692,P0167,4,6687.2,4
I00448,O00445,P0365,5,1990.55,6
I00449,O00949,P0281,5,8638.14,25
I00450,O00629,P0110,4,3989.01,15
I00451,O00927,P0154,1,9056.29,30
I00452,O00409,P0112,5,3443.06,28
I00453,O01060,P0222,2,1885.12,14
I00454,O00791,P0291,1,6703.24,8
I00455,O01314,P0206,5,5793.18,25
I00456,O00649,P0240,2,2532.41,23
I00457,O00997,P0162,2,6142.54,24
I00458,O01287,P0449,5,449.49,3
I00459,O00018,P0472,1,8636.27,1
I00460,O00642,P0477,3,9027.86,6
I00461,O00630,P0431,2,753.63,19
I00462,O00915,P0244,3,3452.35,5
I00463,O01151,P0082,3,9018.09,4
I00464,O01091,P0467,2,6221.06,5
I00465,O00962,P0359,5,9834.7,22
I00466,O01360,P0485,2,1551.8,14
I00467,O00278,P0451,1,3871.4,12
I00468,O00041,P0301,4,6912.4,26
I00469,O01198,P0293,3,1900.15,28
I00470,O01376,P0291,1,3503.91,10
I00471,O00142,P0091,1,1435.94,9
I00472,O00228,P0479,4,7930.58,21
I00473,O00657,P0150,2,7142.94,30
I00474,O01014,P0009,1,6256.44,18
I00475,O00748,P0436,4,2601.89,16
I00476,O00049,P0251,3,3253.82,5
I00477,O01435,P0157,1,2704.82,13
I00478,O01345,P0235,3,6628.16,10
I00479,O01279,P0006,5,7372.95,0
I00480,O00963,P0195,3,3945.13,22
I00481,O00688,P0188,3,8051.15,27
I00482,O00701,P0068,4,9434.77,23
I00483,O01002,P0145,3,2740.06,29
I00484,O00174,P0413,4,6695.6,10
I00485,O00048,P0416,5,1372.41,24
I00486,O00363,P0192,1,743.1,18
I00487,O00155,P0005,2,7258.76,23
I00488,O01265,P0037,3,1646.81,20
I00489,O00678,P0403,4,6682.89,19
I00490,O00285,P0103,1,9188.22,29
I00491,O01471,P0488,1,1006.7,13
I00492,O01469,P0041,2,3930.32,20
I00493,O00405,P0363,5,9880.5,19
I00494,O01499,P0347,2,5958.94,27
I00495,O01040,P0004,1,887.63,6
I00496,O01111,P0295,3,9729.96,22
I00497,O00156,P0097,1,1951.78,10
I00498,O01302,P0429,2,5963.85,19
I00499,O00585,P0112,4,4322.58,26
I00500,O01087,P0004,3,6582.94,30
I00501,O00331,P0034,3,710.03,15
I00502,O00124,P0318,3,7580.94,13
I00503,O01467,P0229,1,218.79,23
I00504,O00741,P0358,1,6842.7,21
I00505,O01490,P0430,1,3258.73,11
I00506,O00615,P0391,4,4941.97,17
I00507,O00350,P0022,2,6939.56,13
I00508,O00665,P0473,4,7982.89,30
I00509,O00952,P0232,4,1611.58,23
I00510,O00051,P0448,4,1480.38,10
I00511,O01295,P0077,4,4054.24,0
I00512,O01356,P0464,4,1810.52,18
I00513,O00034,P0201,2,4775.65,8
I00514,O01019,P0201,3,1667.33,26
I00515,O00390,P0250,5,6107.57,15
I00516,O00328,P0250,4,9694.09,1
I00517,O00138,P0488,3,3300.5,15
I00518,O00482,P0266,5,9439.05,25
I00519,O00027,P0490,2,3149.28,5
I00520,O01401,P0317,3,4347.07,3
I00521,O00578,P0175,5,7275.09,25
I00522,O00970,P0033,2,275.33,11
I00523,O00669,P0353,4,2411.04,27
I00524,O00976,P0403,3,2877.26,10
I00525,O01431,P0100,5,9028.37,30
I00526,O01173,P0498,3,9122.67,22
I00527,O00511,P0251,5,5676.65,28
I00528,O00196,P0197,1,7526.9,19
I00529,O01006,P0237,3,6065.74,28
I00530,O00798,P0399,3,2012.5,24
I00531,O00746,P0435,3,7799.82,15
I00532,O00007,P0168,2,3626.07,19
I00533,O00559,P0490,4,3268.35,10
I00534,O00410,P0422,5,8126.21,6
I00535,O00606,P0376,5,699.57,28
I00536,O01033,P0145,2,2557.44,12
I00537,O00023,P0153,4,2683.78,4
I00538,O01335,P0330,-3,7647.5,2
I00539,O00303,P0229,3,6296.31,17
I00540,O00644,P0056,2,9375.34,14
I00541,O01243,P0233,3,2919.15,18
I00542,O00035,P0064,2,618.99,10
I00543,O00291,P0162,5,8334.86,12
I00544,O00890,P0331,-5,3306.45,5
I00545,O00071,P0330,3,2900.8,18
I00546,O01048,P0029,5,7255.49,22
I00547,O00140,P0072,2,1600.54,16
I00548,O00482,P0048,2,7571.13,11
I00549,O00704,P0385,3,788.81,12
I00550,O00853,P0329,5,7918.31,22
I00551,O00184,P0417,2,2151.82,5
I00552,O00535,P0117,1,2468.73,20
I00553,O01317,P0432,-5,7003.15,15
I00554,O00477,P0487,1,1611.04,27
I00555,O00662,P0199,2,7584.03,21
I00556,O00594,P0253,-4,332.78,22
I00557,O00083,P0103,4,5937.72,6
I00558,O00015,P0179,2,7048.06,18
I00559,O00337,P0204,3,2206.51,17
I00560,O01276,P0145,1,2729.9,11
I00561,O00413,P0387,5,6115.42,10
I00562,O00534,P0202,2,1279.76,9
I00563,O01236,P0496,-4,6548.95,16
I00564,O00231,P0022,4,3935.78,3
I00565,O01168,P0377,2,7498.0,26
I00566,O00622,P0185,2,4691.42,20
I00567,O00517,P0112,2,5159.88,9
I00568,O00371,P0441,1,3405.93,15
I00569,O00938,P0201,4,6057.95,5
I00570,O01223,P0147,4,7970.53,21
I00571,O00220,P0453,2,102.68,0
I00572,O00023,P0485,5,2814.89,0
I00573,O01493,P0291,3,9615.96,3
I00574,O01323,P0098,1,9712.31,23
I00575,O00856,P0335,3,321.71,24
I00576,O00619,P0073,1,2700.98,29
I00577,O01304,P0382,2,9529.01,25
I00578,O00976,P0090,1,242.01,2
I00579,O01188,P0356,2,5618.7,8
I00580,O00983,P0033,1,7341.2,4
I00581,O01389,P0194,2,395.99,15
I00582,O00845,P0090,4,9731.78,18
I00583,O00576,P0364,1,2887.53,15
I00584,O00050,P0344,2,2792.43,27
I00585,O00918,P0415,2,119.29,20
I00586,O00892,P0287,1,9526.25,15
I00587,O00097,P0147,2,3703.94,19
I00588,O00968,P0279,3,1722.56,21
I00589,O01108,P0075,3,3275.04,20
I00590,O01189,P0206,3,3783.89,11
I00591,O01378,P0385,3,8905.35,21
I00592,O00885,P0045,5,6061.3,28
I00593,O00735,P0331,2,4718.9,24
I00594,O00337,P0456,5,523.28,16
I00595,O01107,P0324,2,8336.93,5
I00596,O00422,P0423,5,6962.83,2
I00597,O01027,P0279,4,515.59,3
I00598,O01128,P0341,-5,9428.67,23
I00599,O00686,P0251,2,1257.52,23
I00600,O00809,P0268,3,6603.23,12
I00601,O00836,P0353,2,7540.5,3
I00602,O00930,P0080,2,8360.06,28
I00603,O01034,P0410,2,1167.23,4
I00604,O00628,P0124,1,7582.43,9
I00605,O00198,P0488,2,8163.49,0
I00606,O00248,P0107,1,1938.57,24
I00607,O00927,P0487,1,1277.63,30
I00608,O00022,P0358,3,6015.85,10
I00609,O00623,P0220,4,6230.65,29
I00610,O01216,P0022,4,6823.26,1
I00611,O00064,P0131,4,7036.25,27
I00612,O00201,P0217,4,6917.05,19
I00613,O01403,P0252,3,9946.92,12
I00614,O00178,P0244,1,2596.35,2
I00615,O01466,P0324,1,9230.88,14
I00616,O00495,P0310,4,9841.6,1
I00617,O01442,P0438,3,4566.87,19
I00618,O01401,P0066,4,5974.95,21
I00619,O00911,P0036,1,5070.52,14
I00620,O00795,P0411,3,9257.31,20
I00621,O00241,P0358,1,5215.69,5
I00622,O00334,P0021,4,2973.84,10
I00623,O00318,P0496,4,8390.01,6
I00624,O00012,P0199,4,7779.83,25
I00625,O00090,P0155,2,1908.51,10
I00626,O00469,P0366,5,4502.2,22
I00627,O00286,P0068,1,7429.53,30
I00628,O00898,P0255,5,3730.09,22
I00629,O01076,P0460,-4,6968.74,20
I00630,O00971,P0018,5,2861.13,17
I00631,O00179,P0135,4,8790.03,21
I00632,O01039,P0471,3,2508.0,29
I00633,O00332,P0045,2,5747.16,21
I00634,O01119,P0192,2,5617.95,15
I00635,O01345,P0095,1,5862.99,3
I00636,O00415,P0076,5,3073.4,23
I00637,O00123,P0262,-4,7902.06,3
I00638,O01200,P0272,5,187.69,28
I00639,O00500,P0441,2,4855.85,6
I00640,O00980,P0246,2,2219.81,5
I00641,O01285,P0278,4,8601.06,2
I00642,O01045,P0075,2,8625.74,2
I00643,O00149,P0290,4,1730.85,20
I00644,O00741,P0481,4,2330.89,8
I00645,O00885,P0022,4,8719.62,24
I00646,O01376,P0372,-4,9314.72,12
I00647,O00461,P0384,4,9084.33,15
I00648,O01044,P0456,5,4124.67,27
I00649,O01068,P0148,2,5021.62,2
I00650,O00855,P0034,4,5660.7,22
I00651,O00082,P0190,2,2846.16,8
I00652,O00700,P0156,4,8379.61,19
I00653,O00963,P0262,3,4929.1,24
I00654,O01398,P0310,5,6033.48,25
I00655,O00691,P0047,5,6945.1,10
I00656,O01294,P0033,5,2590.77,8
I00657,O01218,P0263,3,2355.64,29
I00658,O01160,P0098,3,3550.28,9
I00659,O01061,P0347,2,4174.24,8
I00660,O01350,P0097,5,7706.31,28
I00661,O01410,P0152,2,1980.66,21
I00662,O01133,P0165,3,2124.2,14
I00663,O00241,P0371,5,7255.15,9
I00664,O01298,P0426,2,3439.98,28
I00665,O00803,P0248,4,7198.71,29
I00666,O00700,P0075,5,2621.78,2
